encoder,rows,dim,file_size,device,embed_elapsed,cluster_nmi,cluster_ari,silhouette,retrieval_mrr,precision@5,precision@10,precision@50,iso_anomalies,inconsistencies,linear_accuracy,linear_macro_f1,linear_weighted_f1,umap_sample_size
TFIDF,1946618,300,2.18 GB,cpu,5:08.61,0.2260748631482425,0.10714558892209476,0.001379766850732267,0.6906534235490344,0.5266400000000012,0.5152000000000005,0.48238000000000164,19467,19466,0.446751291983027,0.43505068371980815,0.43464818159938795,50000
W2V,1946618,300,2.18 GB,cpu,2:30.93,0.014409770504261236,0.010016274905698747,0.006386241409927607,0.7218463313691755,0.5800799999999997,0.5690000000000028,0.5460880000000027,19550,19466,0.4317663437137192,0.419645325024285,0.41926216811301786,50000
GLOVE,1946618,300,2.18 GB,cpu,1:56.52,0.029835854949391435,0.02302524415750418,0.0362086221575737,0.7417800031445108,0.5973200000000027,0.5902400000000044,0.5684960000000047,19476,19466,0.43297356443476387,0.4078964779513405,0.4075426584507625,50000
SBERT,1946618,384,2.78 GB,cuda,3:01:27,0.410484816674637,0.34765786634023094,0.015812978148460388,0.8187697961542643,0.7178800000000055,0.7123400000000041,0.6974520000000055,19467,19466,0.45555372902775065,0.44328254608635537,0.4428435971193148,50000
BGE,1946618,1024,7.43 GB,cuda,65:56:44,0.34202152725515333,0.2943077041469792,0.032396554946899414,0.8279065218307549,0.7299200000000036,0.7245600000000061,0.7133200000000085,19467,19466,0.5895911888298692,0.584426253375675,0.5839122824909735,50000
